x,y,z,yaw,velocity,change_flag
135.4558,-187.8253,-3.1251,2.27,25.5032,0
134.5399,-186.7367,-3.1131,2.2858,25.9059,0
133.6165,-185.6323,-3.0868,2.3038,26.3541,0
132.6584,-184.5523,-3.0782,2.3234,25.7544,0
131.6529,-183.4897,-3.0597,2.3434,26.6561,0
130.664,-182.4483,-3.0609,2.3635,25.2285,0
129.6316,-181.4127,-3.0578,2.3829,26.1657,0
128.5834,-180.4235,-3.046,2.4028,25.8682,0
127.5143,-179.4356,-3.0348,2.4219,25.843,0
126.4101,-178.4755,-3.018,2.44,26.0882,0
125.2829,-177.5193,-3.0082,2.4562,26.9272,0
124.1602,-176.5915,-3.0086,2.4702,25.9185,0
123.0082,-175.6979,-2.9928,2.4832,25.9711,0
121.8611,-174.8033,-2.983,2.4939,25.6852,0
120.6929,-173.9213,-2.9637,2.5017,25.8898,0
119.523,-173.0515,-2.9457,2.5064,26.2914,0
118.3605,-172.2084,-2.964,2.5091,25.9528,0
117.2012,-171.3586,-2.9328,2.5099,25.792,0
116.0493,-170.4829,-2.9112,2.5115,25.5653,0
114.8723,-169.6432,-2.929,2.5118,25.8205,0
113.7055,-168.7987,-2.911,2.5122,26.2675,0
112.5617,-167.9472,-2.8854,2.5121,25.9217,0
111.4038,-167.1102,-2.8655,2.5108,25.6901,0
110.2786,-166.2808,-2.8502,2.5098,24.7066,0
109.127,-165.4336,-2.8172,2.5085,26.1992,0
107.9775,-164.5947,-2.8426,2.5063,25.529,0
106.8697,-163.7639,-2.8578,2.504,24.9577,0
105.7556,-162.9306,-2.8421,2.5015,24.9743,0
104.6488,-162.0934,-2.7879,2.4978,24.2375,0
103.5527,-161.2558,-2.7678,2.4953,25.0012,0
102.4614,-160.4176,-2.7542,2.4928,24.7277,0
101.3605,-159.5824,-2.7338,2.4896,24.7876,0
100.2893,-158.7612,-2.7366,2.4858,24.0138,0
99.2121,-157.9264,-2.713,2.4821,23.9998,0
98.1444,-157.0928,-2.7018,2.4772,24.4625,0
97.0952,-156.2641,-2.7018,2.4716,24.0184,0
96.0582,-155.4298,-2.6809,2.4651,23.7133,0
95.0463,-154.6228,-2.6756,2.4577,23.2705,0
94.0386,-153.7861,-2.667,2.4497,23.4901,0
93.0519,-152.9592,-2.6599,2.4425,23.2176,0
92.074,-152.1465,-2.6518,2.4345,22.7458,0
91.1232,-151.3228,-2.6454,2.4261,23.0201,0
90.1807,-150.4792,-2.6361,2.4173,22.6654,0
89.2571,-149.6636,-2.6382,2.4086,21.7727,0
88.379,-148.8588,-2.6306,2.3991,20.7744,0
87.5035,-148.0455,-2.6257,2.3885,20.4304,0
86.6425,-147.2228,-2.6232,2.3779,19.6732,0
85.7973,-146.4153,-2.6314,2.3669,19.4933,0
84.9706,-145.6127,-2.6331,2.3551,17,0
84.1928,-144.8091,-2.6242,2.3435,16,0
83.4459,-144.0257,-2.6434,2.3324,15,0
82.7118,-143.2397,-2.6378,2.3198,14,0
82.0156,-142.5101,-2.6373,2.3062,13,0
81.0794,-141.4213,-2.6307,2.2848,11,0
80.1677,-140.352,-2.621,2.2612,10,0
79.378,-139.3558,-2.6342,2.2381,9,0
78.6691,-138.4191,-2.6366,2.2136,8,0
78.0447,-137.556,-2.6308,2.1866,7,0
77.3624,-136.4714,-2.6251,2.1402,7,0
76.8217,-135.5308,-2.6195,2.081,7,0
76.3308,-134.5059,-2.6115,1.9705,8,0
75.9357,-133.5153,-2.6012,1.7963,7,0
75.6267,-132.5101,-2.6069,1.5514,7,0
75.6135,-131.4459,-2.6083,1.2938,6,0
75.8996,-130.4169,-2.6059,1.0302,5.2286,0
76.5004,-129.4769,-2.6014,0.7687,5.6047,0
77.2915,-128.7224,-2.626,0.5064,5.4935,0
78.2931,-128.191,-2.6338,0.2495,5.5693,0
79.3026,-127.9242,-2.6452,0.0525,6.4971,0
80.4555,-127.8438,-2.6419,-0.1006,7.4125,0
81.4943,-127.8955,-2.6737,-0.1903,7.7865,0
82.6202,-128.0602,-2.6278,-0.2358,8.5966,0
83.7583,-128.3148,-2.6771,-0.2377,8.4979,0
84.923,-128.5982,-2.7342,-0.2233,8.3966,0
85.914,-128.8271,-2.6535,-0.2163,9.0569,0
86.9963,-129.0808,-2.6624,-0.2129,10.2891,0
88.1656,-129.3293,-2.675,-0.2096,11.1207,0
89.4512,-129.6168,-2.655,-0.2049,12.5542,0
90.4774,-129.8529,-2.6696,-0.1973,12.8126,0
91.591,-130.0887,-2.6732,-0.1856,13.7423,0
92.7774,-130.3127,-2.6633,-0.1719,14.954,0
94.041,-130.539,-2.6835,-0.1565,15.3274,0
95.3966,-130.7731,-2.6787,-0.1399,16.736,0
96.8461,-130.982,-2.6854,-0.1225,17.9648,0
97.8492,-131.1064,-2.6824,-0.1092,18.0504,0
98.8952,-131.2355,-2.6722,-0.0951,19.4713,0
99.973,-131.3441,-2.6623,-0.0808,19.7596,0
101.0914,-131.4386,-2.6777,-0.0663,20.1,0
102.2433,-131.5228,-2.652,-0.0506,20.8888,0
103.4246,-131.5959,-2.6357,-0.0339,21.48,0
104.6483,-131.6534,-2.6339,-0.0172,22.3325,0
105.9071,-131.6668,-2.6414,-0.0005,22.9096,0
107.1957,-131.6716,-2.6425,0.0171,23.0322,0
108.5298,-131.6622,-2.6234,0.0341,24.2254,0
109.8917,-131.6019,-2.5955,0.0517,24.5699,0
111.2791,-131.5121,-2.6153,0.0689,25.1022,0
112.691,-131.4118,-2.6171,0.0852,25.4262,0
114.1402,-131.2855,-2.5904,0.1003,26.2767,0
115.609,-131.1297,-2.5913,0.114,26.7313,0
117.0826,-130.9522,-2.5967,0.1259,26.6439,0
118.5963,-130.7573,-2.5685,0.1338,27.5426,0
120.1291,-130.5376,-2.5454,0.1384,27.9058,0
121.6497,-130.3326,-2.5439,0.1423,27.7122,0
123.2133,-130.1099,-2.5515,0.1452,28.2182,0
124.7932,-129.8869,-2.4899,0.1476,28.9149,0
126.3906,-129.6462,-2.4702,0.1492,28.8058,0
127.9907,-129.4181,-2.4761,0.1507,29.2508,0
129.6314,-129.1852,-2.4475,0.1522,29.8107,0
131.3017,-128.9285,-2.4274,0.1541,30.12,0
132.9587,-128.675,-2.4064,0.1558,29.8087,0
134.6576,-128.4164,-2.4053,0.1571,30.5327,0
136.3639,-128.137,-2.3987,0.1573,30.9291,0
138.0745,-127.8755,-2.3949,0.1567,31.3412,0
139.8237,-127.6017,-2.3796,0.156,31.9587,0
141.5743,-127.3415,-2.3764,0.1561,31.6572,0
143.3326,-127.0765,-2.3682,0.1565,31.9274,0
145.1374,-126.7999,-2.3532,0.1559,33.34,0
146.9164,-126.5097,-2.3188,0.1548,32.1719,0
148.6983,-126.2725,-2.3024,0.155,32.0903,0
150.5537,-125.966,-2.2758,0.153,33.6328,0
152.3778,-125.7053,-2.2558,0.1527,33.2605,0
154.2211,-125.4086,-2.2562,0.1514,33.3765,0
156.0958,-125.1378,-2.2413,0.1507,34.329,0
157.9905,-124.8525,-2.2065,0.1495,34.1505,0
159.8748,-124.5894,-2.1615,0.1489,34.9058,0
161.754,-124.321,-2.1504,0.1487,34.1374,0
163.666,-124.0535,-2.1251,0.148,34.6584,0
165.5939,-123.7682,-2.0887,0.1473,34.9269,0
167.5174,-123.5127,-2.0334,0.1478,34.6779,0
